doc_id,path,char_count,gold_governing_law,gold_notice_period,gold_change_of_control
UAGHINC_04_14_2004-EX-10.18-MAINTENANCE AGREEMENT,full_contract_txt/UAGHINC_04_14_2004-EX-10.18-MAINTENANCE AGREEMENT.txt,16823,Delaware,30 days,No
XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement,full_contract_txt/XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement.txt,52165,New York,30 days,Yes
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement,full_contract_txt/EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.txt,64192,California,60 days,Yes
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement,full_contract_txt/PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement.txt,18142,California,60) days,No
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement,full_contract_txt/LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.txt,46358,New York,90 days,No
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2,full_contract_txt/UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.txt,26115,"Virginia, Texas",30 days,No
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement,full_contract_txt/HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement.txt,22294,New York,3 months,No
VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement,full_contract_txt/VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement.txt,45076,Alabama,120 days,Yes
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT,full_contract_txt/ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT.txt,60983,Texas,30 days,No
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement,full_contract_txt/UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement.txt,225639,Delaware,12 months,No
Apollo Endosurgery - Manufacturing and Supply Agreement,full_contract_txt/Apollo Endosurgery - Manufacturing and Supply Agreement.txt,48434,Texas,1 year,No
MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT,full_contract_txt/MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT.txt,122054,New York,6 months,Yes
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement,full_contract_txt/TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.txt,112387,"England, United Kingdom; Wales, United Kingdom",60 days,Yes
VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT,full_contract_txt/VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT.txt,102024,New York,12 months,No
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_New,full_contract_txt/NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_New.txt,61463,Texas,60 days,Yes
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,full_contract_txt/TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.txt,69984,New York,6 months,No
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement,full_contract_txt/EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement.txt,16459,Arizona,90 days,No
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,full_contract_txt/ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT.txt,44722,"Ontario, Canada",90 days,Yes
"VAPOTHERM, INC. - Manufacturing and Supply Agreement","full_contract_txt/VAPOTHERM, INC. - Manufacturing and Supply Agreement.txt",75632,New York,[],Yes
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT,full_contract_txt/AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT.txt,19351,New York,90 days,No
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement,full_contract_txt/RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement.txt,43179,California,60 days,Yes
VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,full_contract_txt/VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT.txt,15202,New York,30 days,No
CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT,full_contract_txt/CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT.txt,26830,Republic of Kazakhstan,65 days,No
NATIONALPROCESSINGINC_07_18_1996-EX-10.4-SPONSORSHIP AGREEMENT,full_contract_txt/NATIONALPROCESSINGINC_07_18_1996-EX-10.4-SPONSORSHIP AGREEMENT.txt,32860,Kentucky,6 months,No
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,full_contract_txt/AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT.txt,23999,Nevada,120 days,No
"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT","full_contract_txt/BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT.txt",37887,Delaware,12 months,No
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement,full_contract_txt/CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.txt,33829,Nevada,30 days,No
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement,full_contract_txt/PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.txt,52022,Texas,30 days,No
"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT","full_contract_txt/IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT.txt",96806,New York,(6) months,Yes
TRIZETTOGROUPINC_08_18_1999-EX-10.17-TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT,full_contract_txt/TRIZETTOGROUPINC_08_18_1999-EX-10.17-TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT.txt,17786,Indiana,30 days,No
RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement,full_contract_txt/RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement.txt,100309,Texas,30 days,No
"Zounds Hearing, Inc. - MANUFACTURING DESIGN MARKETING AGREEMENT","full_contract_txt/Zounds Hearing, Inc. - MANUFACTURING DESIGN MARKETING AGREEMENT.txt",47001,Arizona,60 days,Yes
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement,full_contract_txt/GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement.txt,45257,Ohio,180 days / 6 months,Yes
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ","full_contract_txt/PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT .txt",145181,New York,180 days,Yes
OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT,full_contract_txt/OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT.txt,159705,New York,3 Months,Yes
"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT","full_contract_txt/FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT.txt",37834,Texas,30 days,No
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement,full_contract_txt/WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.txt,48412,Texas,120 days,Yes
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement,full_contract_txt/FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.txt,32502,Ohio,12 months,No
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,full_contract_txt/PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement.txt,92875,Pennsylvania,30 days,No
"SPIENERGYCO,LTD_03_09_2011-EX-99.5-OPERATIONS AND MAINTENANCE AGREEMENT","full_contract_txt/SPIENERGYCO,LTD_03_09_2011-EX-99.5-OPERATIONS AND MAINTENANCE AGREEMENT.txt",54180,California,30 days,No
