doc_id,prompt_version,model,governing_law,notice_period_days,change_of_control,parse_status,latency_s,input_tokens,output_tokens,input_chars,orig_chars,n_windows,raw_response,correct_governing_law,norm_pred_governing_law,norm_gold_governing_law,correct_notice_period_days,norm_pred_notice_period_days,norm_gold_notice_period_days,correct_change_of_control,norm_pred_change_of_control,norm_gold_change_of_control
UAGHINC_04_14_2004-EX-10.18-MAINTENANCE AGREEMENT,v1,lite,Delaware,180,,ok,1.57,2125,39,9241,16823,5,"{
  ""governing_law"": ""Delaware"",
  ""notice_period_days"": 180,
  ""change_of_control"": null
}",True,delaware,delaware,False,180,30,False,,False
XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement,v1,lite,New York,30,False,ok,2.59,4055,38,18019,52106,9,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 30,
  ""change_of_control"": false
}",True,new york,new york,True,30,30,False,False,True
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement,v1,lite,California,60,True,ok,0.73,4114,37,18909,64192,8,"{
  ""governing_law"": ""California"",
  ""notice_period_days"": 60,
  ""change_of_control"": true
}",True,california,california,True,60,60,True,True,True
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement,v1,lite,California,60,,ok,0.61,1784,37,7643,18138,3,"{
  ""governing_law"": ""California"",
  ""notice_period_days"": 60,
  ""change_of_control"": null
}",True,california,california,True,60,60,False,,False
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement,v1,lite,New York,90,False,ok,1.82,6246,38,26610,46255,13,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 90,
  ""change_of_control"": false
}",True,new york,new york,True,90,90,True,False,False
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2,v1,lite,,30,True,ok,0.81,4639,36,17466,26115,8,"{
  ""governing_law"": null,
  ""notice_period_days"": 30,
  ""change_of_control"": true
}",False,,virginia,True,30,30,False,True,False
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement,v1,lite,New York,90,False,ok,53.34,2117,38,9665,22288,4,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 90,
  ""change_of_control"": false
}",True,new york,new york,True,90,90,True,False,False
VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement,v1,lite,Alabama,120,True,ok,1.43,3591,38,15690,45072,7,"{
  ""governing_law"": ""Alabama"",
  ""notice_period_days"": 120,
  ""change_of_control"": true
}",True,alabama,alabama,True,120,120,True,True,True
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT,v1,lite,Texas,30,False,ok,4.16,5141,37,15206,60982,7,"{
  ""governing_law"": ""Texas"",
  ""notice_period_days"": 30,
  ""change_of_control"": false
}",True,texas,texas,True,30,30,True,False,False
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement,v1,lite,Delaware,,,ok,0.82,9113,36,38981,225094,17,"{
  ""governing_law"": ""Delaware"",
  ""notice_period_days"": null,
  ""change_of_control"": null
}",True,delaware,delaware,False,,360,False,,False
Apollo Endosurgery - Manufacturing and Supply Agreement,v1,lite,Texas,365,True,ok,0.73,2730,38,12175,48253,5,"{
  ""governing_law"": ""Texas"",
  ""notice_period_days"": 365,
  ""change_of_control"": true
}",True,texas,texas,True,365,365,False,True,False
MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT,v1,lite,New York,180,False,ok,0.89,9004,39,40079,122054,15,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 180,
  ""change_of_control"": false
}",True,new york,new york,True,180,180,False,False,True
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement,v1,lite,England and Wales,60,True,ok,54.57,6165,39,27913,112362,12,"{
  ""governing_law"": ""England and Wales"",
  ""notice_period_days"": 60,
  ""change_of_control"": true
}",False,england and wales,england united kingdom wales united kingdom,True,60,60,True,True,True
VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT,v1,lite,New York,,False,ok,0.97,4865,36,19414,102006,8,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": null,
  ""change_of_control"": false
}",True,new york,new york,False,,360,True,False,False
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_New,v1,lite,Texas,60,True,ok,1.72,3587,37,17365,61463,7,"{
  ""governing_law"": ""Texas"",
  ""notice_period_days"": 60,
  ""change_of_control"": true
}",True,texas,texas,True,60,60,True,True,True
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,v1,lite,New York,180,False,ok,3.86,5362,39,25463,69973,10,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 180,
  ""change_of_control"": false
}",True,new york,new york,True,180,180,True,False,False
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement,v1,lite,Arizona,90,,ok,0.79,2827,37,12117,16459,5,"{
  ""governing_law"": ""Arizona"",
  ""notice_period_days"": 90,
  ""change_of_control"": null
}",True,arizona,arizona,True,90,90,False,,False
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,v1,lite,"Ontario, Canada",90,True,ok,0.93,3773,39,17313,44702,7,"{
  ""governing_law"": ""Ontario, Canada"",
  ""notice_period_days"": 90,
  ""change_of_control"": true
}",True,ontario canada,ontario canada,True,90,90,True,True,True
"VAPOTHERM, INC. - Manufacturing and Supply Agreement",v1,lite,New York,,True,ok,49.56,7651,36,33044,75632,12,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": null,
  ""change_of_control"": true
}",True,new york,new york,True,,,True,True,True
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT,v1,lite,New York,90,False,ok,4.17,2882,38,14197,19351,6,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 90,
  ""change_of_control"": false
}",True,new york,new york,True,90,90,True,False,False
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement,v1,lite,California,60,True,ok,0.51,3597,37,14299,43179,5,"{
  ""governing_law"": ""California"",
  ""notice_period_days"": 60,
  ""change_of_control"": true
}",True,california,california,True,60,60,True,True,True
VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,v1,lite,New York,30,True,ok,2.34,2099,38,9258,15202,4,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 30,
  ""change_of_control"": true
}",True,new york,new york,True,30,30,False,True,False
CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT,v1,lite,Kazakhstan,65,,ok,3.06,2483,39,11434,26830,5,"{
  ""governing_law"": ""Kazakhstan"",
  ""notice_period_days"": 65,
  ""change_of_control"": null
}",True,kazakhstan,republic of kazakhstan,True,65,65,False,,False
NATIONALPROCESSINGINC_07_18_1996-EX-10.4-SPONSORSHIP AGREEMENT,v1,lite,Kentucky,180,,ok,0.71,2666,38,14224,32860,6,"{
  ""governing_law"": ""Kentucky"",
  ""notice_period_days"": 180,
  ""change_of_control"": null
}",True,kentucky,kentucky,True,180,180,False,,False
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,v1,lite,Nevada,,,ok,49.66,1728,36,7961,23999,3,"{
  ""governing_law"": ""Nevada"",
  ""notice_period_days"": null,
  ""change_of_control"": null
}",True,nevada,nevada,False,,120,False,,False
"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT",v1,lite,Delaware,365,False,ok,3.37,4253,39,20800,37876,10,"{
  ""governing_law"": ""Delaware"",
  ""notice_period_days"": 365,
  ""change_of_control"": false
}",True,delaware,delaware,True,365,360,True,False,False
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement,v1,lite,Nevada,30,,ok,1.51,4072,38,17796,33825,8,"{
  ""governing_law"": ""Nevada"",
  ""notice_period_days"": 30,
  ""change_of_control"": null
}",True,nevada,nevada,True,30,30,False,,False
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement,v1,lite,Texas,30,False,ok,1.92,3123,37,14243,52008,5,"{
  ""governing_law"": ""Texas"",
  ""notice_period_days"": 30,
  ""change_of_control"": false
}",True,texas,texas,True,30,30,True,False,False
"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT",v1,lite,New York,180,True,ok,3.06,8224,39,38945,96662,16,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 180,
  ""change_of_control"": true
}",True,new york,new york,False,180,6,True,True,True
TRIZETTOGROUPINC_08_18_1999-EX-10.17-TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT,v1,lite,Indiana,30,,ok,0.69,2278,37,11458,17786,5,"{
  ""governing_law"": ""Indiana"",
  ""notice_period_days"": 30,
  ""change_of_control"": null
}",True,indiana,indiana,True,30,30,False,,False
RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement,v1,lite,Texas,30,False,ok,49.73,4526,37,20612,100284,9,"{
  ""governing_law"": ""Texas"",
  ""notice_period_days"": 30,
  ""change_of_control"": false
}",True,texas,texas,True,30,30,True,False,False
"Zounds Hearing, Inc. - MANUFACTURING DESIGN MARKETING AGREEMENT",v1,lite,Arizona,60,True,ok,3.45,3383,37,15681,47001,7,"{
  ""governing_law"": ""Arizona"",
  ""notice_period_days"": 60,
  ""change_of_control"": true
}",True,arizona,arizona,True,60,60,True,True,True
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement,v1,lite,Ohio,180,True,ok,1.64,5615,38,25119,45234,9,"{
  ""governing_law"": ""Ohio"",
  ""notice_period_days"": 180,
  ""change_of_control"": true
}",True,ohio,ohio,True,180,180,True,True,True
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",v1,lite,New York,180,True,ok,1.79,8599,39,39027,145168,16,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 180,
  ""change_of_control"": true
}",True,new york,new york,True,180,180,True,True,True
OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT,v1,lite,New York,,True,ok,3.85,7935,36,39177,159336,16,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": null,
  ""change_of_control"": true
}",True,new york,new york,False,,90,True,True,True
"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT",v1,lite,Texas,30,,ok,0.8,3011,37,13950,37829,6,"{
  ""governing_law"": ""Texas"",
  ""notice_period_days"": 30,
  ""change_of_control"": null
}",True,texas,texas,True,30,30,False,,False
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement,v1,lite,Texas,120,True,ok,49.11,4355,38,19512,48412,7,"{
  ""governing_law"": ""Texas"",
  ""notice_period_days"": 120,
  ""change_of_control"": true
}",True,texas,texas,True,120,120,True,True,True
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement,v1,lite,Ohio,365,False,ok,3.09,3383,38,13885,32502,6,"{
  ""governing_law"": ""Ohio"",
  ""notice_period_days"": 365,
  ""change_of_control"": false
}",True,ohio,ohio,True,365,360,True,False,False
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,v1,lite,Pennsylvania,30,False,ok,2.53,3433,37,16452,92875,7,"{
  ""governing_law"": ""Pennsylvania"",
  ""notice_period_days"": 30,
  ""change_of_control"": false
}",True,pennsylvania,pennsylvania,True,30,30,True,False,False
"SPIENERGYCO,LTD_03_09_2011-EX-99.5-OPERATIONS AND MAINTENANCE AGREEMENT",v1,lite,California,30,False,ok,0.8,3791,37,17079,54160,6,"{
  ""governing_law"": ""California"",
  ""notice_period_days"": 30,
  ""change_of_control"": false
}",True,california,california,True,30,30,True,False,False
