doc_id,prompt_version,model,governing_law,notice_period_days,change_of_control,parse_status,latency_s,input_tokens,output_tokens,input_chars,orig_chars,n_windows,raw_response
UAGHINC_04_14_2004-EX-10.18-MAINTENANCE AGREEMENT,v2,lite,Delaware,180,False,ok,0.9,2336,39,9241,16823,5,"{
  ""governing_law"": ""Delaware"",
  ""notice_period_days"": 180,
  ""change_of_control"": false
}"
XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement,v2,lite,New York,30,True,ok,1.11,4266,38,18019,52106,9,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 30,
  ""change_of_control"": true
}"
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement,v2,lite,California,60,True,ok,1.62,4325,37,18909,64192,8,"{
  ""governing_law"": ""California"",
  ""notice_period_days"": 60,
  ""change_of_control"": true
}"
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement,v2,lite,California,60,False,ok,2.03,1995,37,7643,18138,3,"{
  ""governing_law"": ""California"",
  ""notice_period_days"": 60,
  ""change_of_control"": false
}"
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement,v2,lite,New York,90,True,ok,4.1,6457,38,26610,46255,13,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 90,
  ""change_of_control"": true
}"
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2,v2,lite,,30,True,ok,1.63,4850,36,17466,26115,8,"{
  ""governing_law"": null,
  ""notice_period_days"": 30,
  ""change_of_control"": true
}"
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement,v2,lite,New York,90,False,ok,52.42,2328,38,9665,22288,4,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 90,
  ""change_of_control"": false
}"
VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement,v2,lite,Alabama,120,True,ok,1.78,3802,38,15690,45072,7,"{
  ""governing_law"": ""Alabama"",
  ""notice_period_days"": 120,
  ""change_of_control"": true
}"
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT,v2,lite,Texas,30,False,ok,1.98,5352,37,15206,60982,7,"{
  ""governing_law"": ""Texas"",
  ""notice_period_days"": 30,
  ""change_of_control"": false
}"
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement,v2,lite,Delaware,,True,ok,0.61,9324,36,38981,225094,17,"{
  ""governing_law"": ""Delaware"",
  ""notice_period_days"": null,
  ""change_of_control"": true
}"
Apollo Endosurgery - Manufacturing and Supply Agreement,v2,lite,Texas,360,True,ok,1.06,2941,38,12175,48253,5,"{
  ""governing_law"": ""Texas"",
  ""notice_period_days"": 360,
  ""change_of_control"": true
}"
MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT,v2,lite,New York,180,True,ok,2.84,9215,39,40079,122054,15,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 180,
  ""change_of_control"": true
}"
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement,v2,lite,England and Wales,60,True,ok,49.53,6376,39,27913,112362,12,"{
  ""governing_law"": ""England and Wales"",
  ""notice_period_days"": 60,
  ""change_of_control"": true
}"
VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT,v2,lite,New York,,False,ok,4.17,5076,36,19414,102006,8,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": null,
  ""change_of_control"": false
}"
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_New,v2,lite,Texas,60,True,ok,1.36,3798,37,17365,61463,7,"{
  ""governing_law"": ""Texas"",
  ""notice_period_days"": 60,
  ""change_of_control"": true
}"
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,v2,lite,New York,180,False,ok,1.57,5573,39,25463,69973,10,"{
  ""governing_law"": ""New York"",
  ""notice_period_days"": 180,
  ""change_of_control"": false
}"
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement,v2,lite,Arizona,60,False,ok,1.53,3038,37,12117,16459,5,"{
  ""governing_law"": ""Arizona"",
  ""notice_period_days"": 60,
  ""change_of_control"": false
}"
